user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.1	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	88.93	11	0.700206053582619	N/A
bin.10	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__Nitrospira sp002254365	GCA_002254365.1	95.0	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__Nitrospira sp002254365	98.29	0.88	GCA_002254365.1	95.0	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__Nitrospira sp002254365	98.29	0.88	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_001458735.1, s__Nitrospira nitrosa, 95.0, 94.44, 0.77; GCA_002420115.1, s__Nitrospira sp002420115, 95.0, 85.41, 0.66; GCF_900078515.1, s__Nitrospira sp900078515, 95.0, 83.47, 0.74; GCA_002331625.1, s__Nitrospira sp002331625, 95.0, 78.6, 0.36; GCA_002869845.2, s__Nitrospira sp002869845, 95.0, 78.55, 0.36; GCF_001458775.1, s__Nitrospira nitrificans, 95.0, 78.45, 0.3; GCA_005116745.1, s__Nitrospira sp005116745, 95.0, 78.39, 0.32; GCA_005116895.1, s__Nitrospira sp005116895, 95.0, 78.36, 0.38; GCA_005116965.1, s__Nitrospira sp005116965, 95.0, 78.36, 0.36; GCA_005116955.1, s__Nitrospira sp005116955, 95.0, 78.31, 0.34; GCA_002083365.1, s__Nitrospira sp002083365, 95.0, 78.07, 0.28; GCA_001464735.1, s__Nitrospira sp001464735, 95.0, 77.97, 0.3; GCF_900078535.2, s__Nitrospira sp900078535, 95.0, 77.38, 0.16; GCA_002083565.1, s__Nitrospira sp002083565, 95.0, 77.36, 0.17; GCA_002331335.1, s__Nitrospira sp002331335, 95.0, 77.27, 0.17; GCF_001273775.1, s__Nitrospira moscoviensis, 95.0, 77.13, 0.1; GCA_005239465.1, s__Nitrospira sp005239465, 95.0, 77.02, 0.15; GCF_001458695.1, s__Nitrospira inopinata, 95.0, 76.91, 0.11; GCA_002451055.1, s__Nitrospira sp002451055, 95.0, 76.85, 0.15; GCA_005793285.1, s__Nitrospira sp005793285, 95.0, 76.73, 0.15	94.37	11	N/A	N/A
bin.11	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	90.73	11	0.8526422281153518	N/A
bin.12	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	85.69	11	0.8484746825401733	N/A
bin.13	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__UTPRO2;s__	N/A	N/A	N/A	N/A	N/A	GCA_002066955.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__UTPRO2;s__UTPRO2 sp002066955	84.89	0.62	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__UTPRO2;s__	taxonomic classification defined by topology and ANI	N/A	GCA_003105015.1, s__UTPRO2 sp003105015, 95.0, 85.71, 0.88; GCA_002840845.1, s__UTPRO2 sp002840845, 95.0, 82.68, 0.75	57.78	11	0.9544938669166058	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.14	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_002343825.1	95.0	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__UBA2391;s__UBA2391 sp002343825	75.5	0.03	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	82.6	11	0.8501771397709875	N/A
bin.2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	N/A	N/A	N/A	N/A	N/A	GCA_002381005.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__Ferruginibacter sp002381005	80.84	0.72	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	taxonomic classification defined by topology and ANI	N/A	GCA_002352045.1, s__Ferruginibacter sp002352045, 95.0, 77.67, 0.19; GCA_001898465.1, s__Ferruginibacter sp001898465, 95.0, 77.14, 0.21; GCA_002336815.1, s__Ferruginibacter sp002336815, 95.0, 76.22, 0.04; GCA_002343985.1, s__Ferruginibacter sp002343985, 95.0, 76.16, 0.08; GCA_003455235.1, s__Ferruginibacter sp003455235, 95.0, 75.84, 0.05; GCA_002400445.1, s__Ferruginibacter sp002400445, 95.0, 75.83, 0.08; GCA_003534175.1, s__Ferruginibacter sp003534175, 95.0, 75.38, 0.06	92.06	11	0.9768514134929535	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
bin.3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	93.1	11	0.7972430375351411	N/A
bin.4	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JOSHI-001;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	83.97	11	0.9342532481998698	N/A
bin.5	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__;s__	taxonomic classification fully defined by topology	N/A	N/A	88.53	11	0.8048113405585795	N/A
